unixtime,price,amount
1474899476,603.25,0.00832159
1474899513,603.25,0.080017
1474899537,603.0,0.01
1474899538,602.63,0.05851699
1474899543,603.25,0.00832159
1474899573,603.0,0.01
1474899573,602.63,0.86086327
1474899573,602.63,4.60589164
1474899590,602.55,0.05
1474899596,603.23,0.00832187
1474899606,603.95,0.0203018
1474899609,603.95,0.505
1474899611,603.95,0.00831195
1474899620,602.8,0.01
1474899623,602.8,2.332
1474899629,602.8,8.042
1474899665,602.8,33.6
1474899668,602.8,7.8031916
1474899751,602.8,20.06003122
1474899758,603.77,0.00831442
1474899905,602.8,0.6197
1474899905,603.73,0.306
1474899936,603.73,0.1032715
1474899937,603.73,0.65162483
1474899937,603.74,0.1
1474899938,603.77,0.37237517
1474900059,603.77,4.01119483
1474900076,603.98,0.185
1474900083,603.98,0.185
1474900132,603.77,0.08310971
1474900189,603.77,1.27417127
1474900189,602.92,1.07812677
1474900189,602.92,1.65001291
1474900189,602.9,10.0
1474900191,602.9,4.63
1474900198,602.9,1.867
1474900263,602.8,0.5
1474900307,602.9,0.00068905
1474900308,603.88,0.0080141
1474900327,603.9,0.99611
1474900338,603.96,0.30930999
1474900340,603.95,0.101
1474900399,603.95,0.55533604
1474900458,603.0,1.00563783
1474900458,602.98,6.0
1474900458,602.85,4.61
1474900458,602.8,3.82026878
1474900458,602.6,1.41412178
1474900459,603.98,0.59742
1474900564,603.9,0.122909
1474900632,603.04,2.3
1474900632,603.04,4.42
1474900632,603.0,5.0
1474900632,602.79,1.59023711
1474900658,603.0,5.0
1474900658,602.79,3.38976289
1474900658,602.65,16.932
1474900658,602.64,4.74
1474900658,602.62,18.69
1474900659,602.6,1.24823711
1474900699,602.61,4.07
1474900699,602.61,0.171
1474900699,602.61,0.157
1474900699,602.61,0.172
1474900699,602.61,0.171
1474900700,602.61,4.34
1474900700,602.6,2.33764111
1474900700,602.6,5.0
1474900700,602.51,3.58135889
1474900703,603.79,0.5809
1474900741,603.78,0.11483251
1474900794,603.79,0.73137152
1474900824,603.85,0.82020781
1474900899,603.85,0.19181893
1474900899,603.89,1.0
1474900899,603.97,0.95332121
1474900900,603.99,0.9916886
1474900900,603.99,1.0
1474900900,604.0,1.0
1474900900,604.37,16.932
1474900900,604.38,5.0
1474900900,604.4,10.0
1474900900,604.7,12.93117126
1474900945,604.69,0.43006009
1474900960,604.69,0.53497653
1474900963,603.52,0.40719205
1474900978,604.69,0.1414
1474900992,604.67,0.0505
1474901025,604.63,0.02420107
1474901122,603.6,0.0492
1474901274,603.8,1.0
1474901348,603.94,0.0557384
1474901404,603.98,0.08380618
1474901410,604.42,0.08395506
1474901433,604.49,10.0
1474901441,604.46,3.2
1474901443,604.5,0.99385943
1474901450,604.49,0.19789847
1474901454,604.5,9.50614057
1474901476,604.5,0.49385943
1474901476,604.49,6.60210153
1474901477,604.42,0.31957123
1474901477,604.0,3.08446781
1474901520,604.54,0.01
1474901521,604.69,1.0
1474901532,604.54,0.0083
1474901556,604.57,0.00833
1474901578,604.7,0.16665
1474901580,604.59,0.01
1474901597,604.6,0.01
1474901602,604.61,0.01
1474901640,604.7,0.01
1474901650,604.65,0.00833
1474901658,604.67,0.04856214
1474901660,604.67,7.0
1474901678,604.7,1.124
1474901693,604.69,0.00833
1474901695,604.7,0.76817874
1474901695,604.9,0.44182126
1474901700,604.9,0.01
1474901702,604.71,0.00833
1474901704,604.71,8.18897
1474901705,604.7,4.95
1474901705,604.5,7.36103
1474901745,604.89,0.52427798
1474901754,604.9,0.11544056
1474901756,604.71,0.03314108
1474901759,604.71,0.00833
1474901788,604.71,0.1
1474901796,604.89,1.0
1474901796,604.9,15.51130045
1474901857,604.96,0.10982544
1474901869,604.96,1.0
1474901869,604.95,0.11754806
1474901904,604.96,0.2121
1474901912,604.95,3.0
1474901926,604.96,0.11696641
1474901933,604.95,0.11696641
1474901935,604.95,0.25418508
1474901942,604.96,0.11640439
1474901945,604.52,0.58618003
1474901947,604.51,0.22381997
1474901948,604.51,0.1
1474902071,604.95,1.0
1474902071,604.96,0.124
1474902090,604.96,0.2615
1474902092,604.51,0.10774058
1474902107,604.95,0.19889
1474902194,604.95,0.17799682
1474902213,604.95,0.2
1474902258,604.52,0.0492
1474902305,604.95,0.42311318
1474902309,604.95,0.33146607
1474902310,604.95,0.48938134
1474902324,604.51,0.08156355
1474902347,604.51,2.0
1474902380,604.96,1.0
1474902385,604.96,0.78880753
1474902399,604.96,0.78994667
1474902399,604.99,0.62846301
1474902425,604.99,0.06508746
1474902436,604.99,0.19851675
1474902445,604.99,0.08623262
1474902449,604.99,0.7
1474902465,604.99,0.09112244
1474902478,604.99,0.29986487
1474902490,604.99,0.03253242
1474902512,604.55,0.10067473
1474902539,604.56,0.96
1474902539,604.55,0.06132527
1474902539,604.5,2.63897
1474902540,603.85,1.5656897
1474902540,603.85,0.172
1474902566,603.78,3.0
1474902567,603.77,10.0
1474902567,603.55,10.0
1474902567,603.5,2.0
1474902572,603.51,0.08287736
1474902585,603.85,0.12796262
1474902591,603.5,3.0
1474902591,603.3,16.932
1474902592,603.29,0.068
1474902596,603.31,0.12909168
1474902667,603.85,0.19927
1474902689,603.85,0.4
1474902693,603.41,1.336
1474902698,603.85,0.32546162
1474902703,603.4,1.0
1474902719,603.41,1.0
1474902735,603.41,0.01077493
1474902747,603.4,1.0
1474902752,603.41,0.98922507
1474902752,603.85,0.59080292
1474902762,603.85,0.2505356
1474902772,603.85,9.19
1474902774,603.85,0.25528172
1474902788,603.85,0.06090578
1474902798,603.85,0.78960884
1474902808,603.85,0.24421847
1474902819,603.85,0.11238548
1474902857,604.77,1.57827213
1474902869,604.74,0.16270847
1474902878,603.73,0.14548926
1474902880,604.72,0.05274397
1474902888,604.88,0.02192022
1474902900,604.85,0.09111674
1474902922,604.79,0.78870454
1474902931,604.74,0.11938
1474902963,604.7,1.0
1474902963,604.82,0.02732494
1474902972,604.77,0.06834763
1474902982,604.74,1.00637005
1474902983,604.76,0.57204929
1474902993,603.73,0.0883485
1474902998,604.75,0.17900569
1474903020,603.82,0.02445778
1474903075,604.75,0.01209853
1474903077,603.94,0.08458834
1474903105,603.97,0.172
1474903105,603.97,0.171
1474903105,603.74,1.07456637
1474903105,603.72,0.48783363
1474903132,604.68,0.16380395
1474903227,603.72,0.17034363
1474903270,603.72,1.0
1474903366,603.96,1.247616
1474903367,603.73,0.15870585
1474903429,603.96,0.076356
1474903468,603.96,2.878768
1474903468,604.6,0.151232
1474903476,604.56,0.0655122
1474903488,604.54,0.03746154
1474903498,604.53,0.02982037
1474903505,603.73,0.06
1474903509,604.56,0.22629543
1474903511,603.73,0.112
1474903511,603.73,0.171
1474903512,603.73,0.172
1474903512,603.73,0.032
1474903558,603.73,0.04404504
1474903575,604.57,0.18273327
1474903624,603.74,5.47384048
1474903631,604.56,0.0797949
1474903752,604.59,0.0857112
1474903888,604.55,0.92521
1474903964,604.51,0.74276687
1474904003,604.54,0.01998
1474904013,603.74,0.45632334
1474904023,604.55,0.07479
1474904024,604.56,0.00021503
1474904062,603.74,0.32571513
1474904062,603.74,0.171
1474904062,603.72,8.34182274
1474904062,603.45,10.0
1474904062,603.4,3.0
1474904062,603.28,10.0
1474904064,603.0,2.1533889
1474904077,604.5,0.01998
1474904133,603.12,0.07247409
1474904147,604.36,0.22695484
1474904254,603.11,0.23384556
1474904585,604.28,0.053169
1474904605,604.28,0.49521745
1474904625,604.28,0.52686458
1474904625,604.3,1.87313542
1474904657,604.3,0.053169
1474904662,603.88,0.97012936
1474904716,604.3,0.03993
1474904756,604.3,0.2
1474904771,604.3,0.053169
1474904824,604.3,0.0599
1474904859,604.3,0.12379613
1474904894,604.3,0.093526
1474904956,604.3,0.00843853
1474904985,604.3,0.03204588
1474905107,604.3,0.46289004
1474905127,604.3,0.53710996
1474905127,604.3,0.172
1474905127,604.3,0.172
1474905127,604.3,0.11889004
1474905129,604.3,0.028
1474905132,604.3,0.02410996
1474905132,604.3,0.02589004
1474905139,604.3,0.1451
1474905145,604.3,9.96e-06
1474905145,603.88,0.14509004
1474905158,603.88,0.32628887
1474905166,603.88,0.364
1474905170,603.88,0.181
1474905172,603.88,0.192
1474905174,603.88,0.18
1474905177,603.88,0.64149173
1474905177,603.57,0.29850827
1474905179,603.58,0.21
1474905187,603.61,0.53
1474905366,603.7,0.12112519
1474905426,604.39,0.1
1474905426,604.4,3.0
1474905436,604.47,0.3
1474905439,604.47,0.01
1474905443,604.47,0.047
1474905448,604.47,0.47332536
1474905449,604.44,0.04699464
1474905450,604.44,0.01
1474905453,604.44,0.017
1474905455,604.44,0.02600536
1474905455,604.43,0.1
1474905456,603.7,0.34731464
1474905457,603.7,0.47332
1474905460,603.7,0.026
1474905462,603.7,0.026
1474905490,604.6,0.2828
1474905524,604.6,0.565968
1474905525,604.74,1.90839038
1474905592,604.71,0.07497809
1474905648,603.76,0.0766062
1474905665,604.7,0.0414929
1474905669,604.7,0.03
1474905671,604.7,0.4600641
1474905671,604.7,0.0714859
1474905674,604.7,0.53155
1474905676,604.7,0.601
1474905678,604.7,0.01
1474905680,604.7,0.011
1474905682,604.7,0.01
1474905684,604.7,0.072
1474905687,604.7,0.6929641
1474905687,603.7,0.00624017
1474905687,603.62,0.08199475
1474905687,603.62,0.00476098
1474905689,603.64,0.561
1474905691,603.57,0.513
1474905694,603.57,0.04895909
1474905694,603.57,0.143
1474905715,604.66,0.1198
1474905831,604.6,0.03994
1474905833,603.57,0.03994
1474905835,603.57,0.03994
1474905837,603.57,0.03994
1474905838,603.57,0.03994
1474905841,603.57,0.03994
1474905902,603.58,0.0316
1474905902,603.57,0.0894631
1474905902,603.57,0.04494978
1474905903,604.63,0.043879
1474905908,604.63,0.052015
1474905951,604.62,0.1515
1474905966,604.62,0.14977
1474905969,603.57,0.14976
1474905971,603.57,0.01
1474905973,603.57,0.14976
1474906053,604.71,0.03635109
1474906071,604.69,0.0619635
1474906156,604.59,0.29952
1474906172,604.59,0.35924
1474906190,603.64,0.06525514
1474906194,604.57,0.06525514
1474906196,604.58,0.1
1474906196,604.63,0.41595768
1474906197,604.64,1.98054448
1474906223,603.69,0.03426007
1474906230,604.59,0.00999
1474906342,603.77,0.01
1474906345,603.77,0.197
1474906348,603.77,0.092
1474906350,603.77,0.037
1474906352,603.77,0.01
1474906354,603.77,0.615
